Ring	FRC	FRCSmoothed	Threshold
167	5.4109954833984375e-01	5.0060039758682251e-01	2.1537709236145020e-01
168	5.5357027053833008e-01	4.9675816297531128e-01	2.1533776819705963e-01
169	4.7570097446441650e-01	4.9036434292793274e-01	2.1507337689399719e-01
170	4.6655541658401489e-01	4.8278132081031799e-01	2.1455359458923340e-01
171	4.3515756726264954e-01	4.7666928172111511e-01	2.1451887488365173e-01
172	4.3084174394607544e-01	4.7503262758255005e-01	2.1434174478054047e-01
173	4.4473534822463989e-01	4.7785255312919617e-01	2.1441012620925903e-01
174	4.7258836030960083e-01	4.8306015133857727e-01	2.1457469463348389e-01
175	4.8643749952316284e-01	4.8772069811820984e-01	2.1433487534523010e-01
176	5.0375318527221680e-01	4.8983681201934814e-01	2.1387018263339996e-01
177	6.0747849941253662e-01	4.8949685692787170e-01	2.1403165161609650e-01
178	5.3237974643707275e-01	4.8773375153541565e-01	2.1452979743480682e-01
179	4.7869801521301270e-01	4.8591047525405884e-01	2.1358577907085419e-01
180	4.1262462735176086e-01	4.8344516754150391e-01	2.1327200531959534e-01
181	4.2646521329879761e-01	4.8134467005729675e-01	2.1323506534099579e-01
182	4.5128709077835083e-01	4.7866120934486389e-01	2.1315646171569824e-01
183	4.3550056219100952e-01	4.7580537199974060e-01	2.1341171860694885e-01
184	5.8007133007049561e-01	4.7408461570739746e-01	2.1346700191497803e-01
185	4.3119293451309204e-01	4.7301715612411499e-01	2.1379248797893524e-01
186	6.2429952621459961e-01	4.7141608595848083e-01	2.1300710737705231e-01
187	4.2737531661987305e-01	4.6894490718841553e-01	2.1248632669448853e-01
188	4.3064749240875244e-01	4.6630668640136719e-01	2.1236005425453186e-01
189	4.1601431369781494e-01	4.6401268243789673e-01	2.1221412718296051e-01
190	4.1596302390098572e-01	4.6171784400939941e-01	2.1259948611259460e-01
191	4.5201581716537476e-01	4.5950949192047119e-01	2.1263135969638824e-01
192	4.5146483182907104e-01	4.5672377943992615e-01	2.1250255405902863e-01
193	5.2485167980194092e-01	4.5307031273841858e-01	2.1181073784828186e-01
194	5.2237391471862793e-01	4.4554471969604492e-01	2.1181039512157440e-01
195	4.6551769971847534e-01	4.3336811661720276e-01	2.1213050186634064e-01
196	4.0997934341430664e-01	4.1775798797607422e-01	2.1199145913124084e-01
197	4.1222628951072693e-01	3.9934936165809631e-01	2.1206164360046387e-01
198	3.3466517925262451e-01	3.7867197394371033e-01	2.1149498224258423e-01
199	3.0713614821434021e-01	3.5693424940109253e-01	2.1137784421443939e-01
200	3.0438989400863647e-01	3.3580508828163147e-01	2.1142895519733429e-01
201	3.6770811676979065e-01	3.1658527255058289e-01	2.1144141256809235e-01
202	3.3187276124954224e-01	3.0045875906944275e-01	2.1151383221149445e-01
203	2.7683025598526001e-01	2.8781068325042725e-01	2.1105755865573883e-01
204	2.8276628255844116e-01	2.7784842252731323e-01	2.1099644899368286e-01
205	2.2382417321205139e-01	2.6867628097534180e-01	2.1098276972770691e-01
206	2.1553909778594971e-01	2.5931388139724731e-01	2.1140938997268677e-01
207	2.5380083918571472e-01	2.5097149610519409e-01	2.1098196506500244e-01
208	2.5879764556884766e-01	2.4458846449851990e-01	2.1046957373619080e-01
209	2.4909365177154541e-01	2.3891294002532959e-01	2.1049463748931885e-01
210	2.5514549016952515e-01	2.3243442177772522e-01	2.1011589467525482e-01
211	2.2377124428749084e-01	2.2506487369537354e-01	2.1052855253219604e-01
212	2.5040948390960693e-01	2.1861843764781952e-01	2.1056324243545532e-01
213	2.0411191880702972e-01	2.1646901965141296e-01	2.1031168103218079e-01
214	1.6460189223289490e-01	2.2268514335155487e-01	2.1051916480064392e-01
215	1.6572880744934082e-01	2.3641423881053925e-01	2.1003422141075134e-01
216	1.5114785730838776e-01	2.5252857804298401e-01	2.1006599068641663e-01
217	2.7120280265808105e-01	2.6618638634681702e-01	2.1003754436969757e-01
218	2.8982684016227722e-01	2.7578440308570862e-01	2.0946505665779114e-01
219	4.6901881694793701e-01	2.8085762262344360e-01	2.0954431593418121e-01
220	4.1033512353897095e-01	2.7944123744964600e-01	2.0985305309295654e-01
221	2.9323786497116089e-01	2.6921775937080383e-01	2.0936478674411774e-01
222	2.0652940869331360e-01	2.4882386624813080e-01	2.0946812629699707e-01
223	2.1284934878349304e-01	2.2158636152744293e-01	2.1016751229763031e-01
224	1.7887951433658600e-01	1.9423238933086395e-01	2.0944324135780334e-01
225	8.5726693272590637e-02	1.7311868071556091e-01	2.0931449532508850e-01
226	1.2569142878055573e-01	1.6239084303379059e-01	2.0914201438426971e-01
227	5.6960202753543854e-02	1.6090129315853119e-01	2.0847676694393158e-01
228	1.8271709978580475e-01	1.6458564996719360e-01	2.0896324515342712e-01
229	1.9380152225494385e-01	1.7064836621284485e-01	2.0904339849948883e-01
230	2.2144582867622375e-01	1.7682918906211853e-01	2.0907868444919586e-01
231	2.1577194333076477e-01	1.8152125179767609e-01	2.0890404284000397e-01
232	2.3073087632656097e-01	1.8380634486675262e-01	2.0860245823860168e-01
233	1.8760398030281067e-01	1.8201506137847900e-01	2.0846788585186005e-01
234	1.7983601987361908e-01	1.7394727468490601e-01	2.0840592682361603e-01
235	1.0258734971284866e-01	1.6051752865314484e-01	2.0864811539649963e-01
236	1.3367201387882233e-01	1.4361356198787689e-01	2.0855557918548584e-01
237	2.1433308720588684e-01	1.2559759616851807e-01	2.0825809240341187e-01
238	1.2855908274650574e-01	1.0968928784132004e-01	2.0789557695388794e-01
239	6.2878571450710297e-02	9.8265133798122406e-02	2.0812603831291199e-01
240	4.5576240867376328e-02	9.2817097902297974e-02	2.0837341248989105e-01
241	6.3833132386207581e-02	9.3570269644260406e-02	2.0797248184680939e-01
242	1.3620133511722088e-02	9.9084027111530304e-02	2.0838002860546112e-01
243	7.4475288391113281e-02	1.0854955017566681e-01	2.0806725323200226e-01
244	9.8685920238494873e-02	1.2179373204708099e-01	2.0741304755210876e-01
245	1.9527018070220947e-01	1.3689766824245453e-01	2.0750594139099121e-01
246	2.3233973979949951e-01	1.5199184417724609e-01	2.0764563977718353e-01
247	2.0159325003623962e-01	1.6531573235988617e-01	2.0760768651962280e-01
248	1.5581668913364410e-01	1.7343495786190033e-01	2.0736323297023773e-01
249	1.7015798389911652e-01	1.7343409359455109e-01	2.0759913325309753e-01
250	1.8024693429470062e-01	1.6684575378894806e-01	2.0741820335388184e-01
251	1.7382699251174927e-01	1.5758973360061646e-01	2.0728777348995209e-01
252	1.8714645504951477e-01	1.4916415512561798e-01	2.0732659101486206e-01
253	1.1620595306158066e-01	1.4373177289962769e-01	2.0720289647579193e-01
254	8.3002015948295593e-02	1.4149063825607300e-01	2.0714502036571503e-01
255	1.1590868234634399e-01	1.4075404405593872e-01	2.0688086748123169e-01
256	1.5306392312049866e-01	1.4053140580654144e-01	2.0691213011741638e-01
257	1.0572984814643860e-01	1.4333175122737885e-01	2.0687749981880188e-01
258	1.5507088601589203e-01	1.5512064099311829e-01	2.0675250887870789e-01
259	2.2256678342819214e-01	1.7868430912494659e-01	2.0675536990165710e-01
260	1.6518929600715637e-01	2.0856353640556335e-01	2.0667733252048492e-01
261	1.0500274598598480e-01	2.3612569272518158e-01	2.0684096217155457e-01
262	1.7003646492958069e-01	2.5588670372962952e-01	2.0645813643932343e-01
263	4.1331046819686890e-01	2.6616162061691284e-01	2.0642675459384918e-01
264	4.9802988767623901e-01	2.6781198382377625e-01	2.0686060190200806e-01
265	3.6728319525718689e-01	2.6204118132591248e-01	2.0612269639968872e-01
266	2.4176198244094849e-01	2.4750626087188721e-01	2.0587456226348877e-01
267	2.0986308157444000e-01	2.2227972745895386e-01	2.0622394979000092e-01
268	1.5080949664115906e-01	1.8881815671920776e-01	2.0643623173236847e-01
269	1.1439870297908783e-01	1.5375427901744843e-01	2.0611970126628876e-01
270	6.7996010184288025e-02	1.2512461841106415e-01	2.0592483878135681e-01
271	2.9383994638919830e-02	1.0838032513856888e-01	2.0608581602573395e-01
